"sim","alpha_lognorm","beta_lognorm","gamma_lognorm","se_alpha_lognorm","se_beta_lognorm","se_gamma_lognorm","aic_lognorm","bic_lognorm","alpha_loglog","beta_loglog","gamma_loglog","se_alpha_loglog","se_beta_loglog","se_gamma_loglog","aic_loglog","bic_loglog","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","aic_expo","bic_expo","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","aic_weibull","bic_weibull","alpha_pwe","beta_pwe","gamma_pwe","se_alpha_pwe","se_beta_pwe","se_gamma_pwe","aic_pwe","bic_pwe"
1,0.935182841927432,0.549469054385003,0.247446467237783,0.0835171443805265,0.0609728261883539,0.0678435965191111,1272.80317720895,1287.5264430459,0.950849148370552,0.529642856784089,0.249297872609593,0.0818201616470268,0.0585002554571701,0.067811498113323,1292.81837863199,1307.54164446893,0.988908097364665,0.454542493114625,0.263977110541459,0.0792071202631209,0.050963056777017,0.0678478019933469,1943.46715453725,1953.28266509521,0.922035856378691,0.563655194099719,0.247449881996674,0.085220559994951,0.063055168895033,0.0678854432987727,1378.95517641073,1393.67844224768,0.930849482697527,0.552807502371567,0.24811665916311,0.0838847888714965,0.0613119849782481,0.0678380220821896,1392.18935469937,1446.17466276818
2,1.02458775736431,0.541245376654983,0.195904699767919,0.079889739198011,0.057666868423982,0.0663500889729608,1272.59573221112,1287.31899804807,1.03683369387252,0.52716272920096,0.19613658100419,0.0788485724185163,0.0561831430045876,0.066349290991007,1283.87772078125,1298.6009866182,1.1178915412171,0.427619489025063,0.183703405749626,0.0745147108831136,0.0480841799825757,0.0668316180115701,2004.88717963413,2014.70269019209,1.02111390954345,0.546776555293984,0.189624553958565,0.0806827850500701,0.0587730090711299,0.0664784563567705,1423.25698617694,1437.98025201388,1.03209839507984,0.534813396450926,0.189111380351907,0.0794045423194676,0.0571541253750677,0.0664490443222863,1402.53121642646,1456.51652449526
3,1.02005461316253,0.445894268845118,0.329082933620265,0.0808511404168495,0.0615964751889728,0.0639244101738478,1198.31025266601,1213.03351850296,1.0318324180221,0.431727188094241,0.330227767886968,0.0794337662702585,0.0595473738857714,0.0639057073323574,1216.93835887785,1231.6616247148,1.07683403232828,0.365519045821772,0.333473741955399,0.0765638086207686,0.0526384358099418,0.064018639773569,1954.6050281899,1964.42053874786,1.00964185246435,0.454438552645795,0.332563141068766,0.0823532061762406,0.0631190346902721,0.0639048899741454,1306.21326116644,1320.93652700339,1.01606424678572,0.448779306168302,0.330415675604825,0.0813005443981499,0.0619897229914556,0.0639088442606597,1347.00457706687,1400.98988513567
4,0.938972606139529,0.575170499241022,0.300024478390389,0.0820065567990189,0.0621764467953668,0.0638570848668693,1190.88244028951,1205.60570612645,0.961602698280035,0.549969698807124,0.302981850344439,0.0809431804050685,0.0604722534432501,0.0639343935708027,1204.7211361514,1219.44440198835,1.05685140844327,0.432791560669482,0.308569768069695,0.07807502348545,0.0532138247642107,0.0644209910420212,1960.14390557412,1969.95941613209,0.915795029783756,0.596945276820762,0.299476131109114,0.0831281690109815,0.0634999677650017,0.0637755746881945,1297.80778527511,1312.53105111206,0.932777520426188,0.579730882744613,0.301416883428366,0.0823358471672175,0.0624260398478241,0.0638333895542117,1341.92827708935,1395.91358515816
5,0.98499813931274,0.624076732306994,0.128420799994031,0.0760089496575236,0.0541786394930437,0.0634398875863988,1316.70867242487,1331.43193826182,1.02127742272287,0.587555077497501,0.131266171773762,0.0745112855437505,0.052068441767593,0.0635785439687859,1320.57438870533,1335.29765454228,1.0869458542917,0.499087874510258,0.12396583123666,0.0722553679562011,0.04651712192156,0.0639971298858307,2018.2865483109,2028.10205886886,0.958752303423554,0.646533553739729,0.131615157874749,0.0774726738241786,0.05572579837556,0.0633639844155137,1456.84716440551,1471.57043024246,0.98474145773231,0.623874499597742,0.127336368138789,0.0760099345520401,0.0541436607628951,0.0634444590922048,1437.15336822511,1491.13867629391
6,1.13524061089366,0.421705032338047,0.202302708642209,0.0782693202728528,0.0570953117753366,0.0649419620082752,1275.215673389,1289.93893922595,1.14046172071055,0.414565173496011,0.203233545610289,0.077335071338966,0.0557408378595018,0.0649055128738564,1277.86725883274,1292.59052466969,1.1886041909302,0.347261181291433,0.201969804909835,0.0745027555074016,0.0490614143996331,0.0651024251952156,1980.58477125167,1990.40028180963,1.13552658182639,0.422571626303125,0.199941856251615,0.0791041225865907,0.0581459196955893,0.0650303767675767,1409.79913618129,1424.52240201824,1.13611311786371,0.421309758093385,0.19952185456701,0.0781482372876148,0.0570147041195752,0.0649721211264303,1385.25724609821,1439.24255416702
7,1.04349005746063,0.558426915348919,0.0632157819655003,0.0780433021063656,0.0581146741369441,0.0644912135226789,1213.15361856647,1227.87688440342,1.06874860453486,0.531590165376805,0.0644937181570463,0.0765479564406199,0.0560037072951471,0.0645513114077085,1226.45462591838,1241.17789175533,1.13478831524314,0.437385239090126,0.0718571537520792,0.0739716683391302,0.0490729507813677,0.0648296257289518,1955.1483553067,1964.96386586467,1.02717483065609,0.572904991701375,0.063869423164522,0.0793943730373841,0.0595789428468216,0.0644811409512997,1375.15441984002,1389.87768567697,1.04935012816168,0.550722247853168,0.0628885855495234,0.0777024717318567,0.057479747378806,0.064511345605758,1357.32665483701,1411.31196290582
8,1.0553974377699,0.452566216890021,0.255382074831529,0.0827560570209757,0.0613721539350016,0.0664946515620257,1242.08159532301,1256.80486115996,1.05964883866202,0.445957344102348,0.25539352825051,0.0820348197095439,0.0602187604914413,0.0664761824767627,1250.70826137279,1265.43152720974,1.11771501450498,0.361349432599385,0.255836121276615,0.0772404153575588,0.0503328072456944,0.0666003044636065,1947.28318975951,1957.09870031748,1.05187184718541,0.454818060742208,0.258749225127894,0.0839285102361712,0.0624928417681281,0.0664979240590332,1349.97653362454,1364.69979946149,1.05464324534317,0.452981354741953,0.255890467291172,0.0830104274875637,0.061607381278028,0.0664991058161944,1343.59971780885,1397.58502587765
9,0.92069081172015,0.514527561133086,0.309277140554847,0.0812779470488758,0.0572790423296771,0.062982148497829,1269.079281598,1283.80254743495,0.934632953676763,0.497773247135822,0.310714145451987,0.079907704238753,0.055335369681129,0.06297509835414,1281.80941196562,1296.53267780256,0.990925438025548,0.414125646065043,0.311474255956626,0.0764332104367782,0.0475277212477761,0.0631215788259642,1971.34405747354,1981.1595680315,0.90569106575232,0.527290956320534,0.312386627908011,0.0828637735566909,0.0588833113099136,0.0629965636223983,1373.6156084292,1388.33887426614,0.916336835624893,0.517382567269699,0.311112431137761,0.0816594663828379,0.0575742239226273,0.0629799121730305,1393.51964367146,1447.50495174026
10,0.935128786493124,0.524708844562044,0.25978221338712,0.0795498917626026,0.0565196822133149,0.0657085925516977,1311.39366086223,1326.11692669918,0.963994661649678,0.49456470799678,0.262199163696478,0.0782890119749622,0.054560531890682,0.0658195812522257,1328.72739801459,1343.45066385154,1.04824063167203,0.39112292430266,0.268879992881468,0.0764839407772343,0.04856856356824,0.0663340659672341,1985.86221567647,1995.67772623443,0.914487631373027,0.542621849302421,0.260445825025199,0.0808280017736112,0.0578969291335905,0.0656508150621974,1437.06179011785,1451.7850559548,0.928091532145514,0.531477598320911,0.258583427065824,0.0799476896841495,0.0570224346485312,0.0656957750729865,1443.76706381584,1497.75237188465
