"sim","alpha_lognorm","beta_lognorm","gamma_lognorm","se_alpha_lognorm","se_beta_lognorm","se_gamma_lognorm","aic_lognorm","bic_lognorm","alpha_loglog","beta_loglog","gamma_loglog","se_alpha_loglog","se_beta_loglog","se_gamma_loglog","aic_loglog","bic_loglog","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","aic_expo","bic_expo","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","aic_weibull","bic_weibull","alpha_pwe","beta_pwe","gamma_pwe","se_alpha_pwe","se_beta_pwe","se_gamma_pwe","aic_pwe","bic_pwe"
1,0.912847246250855,0.560913252131158,0.271395326079599,0.159696191661081,0.117895937223675,0.10025917781663,820.108022826061,834.831288663008,0.941878380799326,0.52851818182916,0.271611854573254,0.152790065550464,0.110835105038764,0.0995125876280229,833.238141927271,847.961407764217,1.05654688872883,0.302794001662838,0.302617302102372,0.142903108828073,0.0734369487092183,0.100487244539761,1309.99822131667,1319.81373187464,0.87195681532102,0.606561082777537,0.267811467258924,0.16863609371726,0.125747353583162,0.103112806398819,888.879815519296,903.603081356243,0.909247817837969,0.561700479536903,0.268263641743789,0.159870213543049,0.116005097703508,0.102749914355509,894.007594361176,947.99290242998
2,1.16018016205193,0.395593403431558,0.275669333240793,0.150917319606617,0.125846191591626,0.1026429370644,809.35574237481,824.079008211756,1.18943317429231,0.36788835744224,0.274339183446597,0.148176469061215,0.120346130550104,0.102812019870342,815.369549191241,830.092815028188,1.34352752380909,0.173077942071899,0.269502510675175,0.123562672898862,0.0699734796035627,0.104833672191237,1363.05062508308,1372.86613564105,1.13713018725112,0.415902434148325,0.272337294818576,0.154435404938174,0.128870440472282,0.105772954640873,910.857590804494,925.58085664144,1.17086489774969,0.381316215285922,0.272232033698736,0.150475571474244,0.126670250314791,0.106006913197504,906.748627714285,960.733935783088
3,1.08646403857593,0.398397855857656,0.283045664810634,0.147990303970626,0.113637467144367,0.103672307185014,861.367711020426,876.090976857373,1.09968333738248,0.380058592185314,0.286002202305667,0.145777394059976,0.109620754728206,0.103587685846405,874.828219425358,889.551485262304,1.20634909114326,0.222973296759995,0.290769368715646,0.150591695694117,0.0874976225306458,0.0986830214595388,1428.55336113378,1438.36887169174,1.05970927534209,0.42430916179276,0.287102098631521,0.152914245400358,0.120610442140588,0.103404300150186,926.834915725914,941.558181562861,1.07622369687859,0.407491222045596,0.285398239231872,0.148551574569753,0.11441357715814,0.104179764501162,957.596988927196,1011.582296996
4,0.873996667631451,0.649336415457766,0.281227298631051,0.138797646182378,0.10500600727054,0.102772269622498,821.068266119157,835.791531956104,0.901047493862774,0.61915781914988,0.280010628798408,0.133611149204751,0.0996232580130651,0.102196188525848,830.583484674862,845.306750511808,1.12670519810825,0.308519754218012,0.308058723115721,0.129122689323327,0.0654341481691403,0.110992663694788,1382.13351338397,1391.94902394194,0.844252880253507,0.67192114533193,0.297646867968661,0.147892121758102,0.112646219664628,0.106071914032493,888.888621148295,903.611886985242,0.869916710127049,0.648218487253886,0.287180006056496,0.14206220967743,0.107265748396526,0.106358557973521,915.395802872861,969.381110941664
5,0.86497713786317,0.74045037051984,0.135937629980709,0.114158930993608,0.0862118378622884,0.0887221554874687,858.128574092963,872.85183992991,0.914941044973655,0.689056446448672,0.137055325201771,0.108812593416122,0.0835624460504993,0.0893992933768201,859.483402543385,874.206668380331,1.14113817337135,0.378434008727985,0.112675458695754,0.0874912762068752,0.0516458926373842,0.0870387638357881,1415.32226136792,1425.13777192588,0.807627269126403,0.795421696656717,0.146577074211395,0.12466234968424,0.0991197046404438,0.0868934900132739,954.881276992369,969.604542829315,0.876085061803711,0.728485236438982,0.128024953235706,0.110174132314746,0.0864078699161218,0.0885037863164147,945.90425826161,999.889566330414
6,1.21907903003828,0.346783991772995,0.21034504268124,0.112752064349692,0.103064077080941,0.103692632434446,869.315399710332,884.038665547279,1.24353083532321,0.322678947918492,0.213684847568009,0.110217333727326,0.100633499525507,0.103566643309634,863.990731781425,878.713997618371,1.35983699077646,0.173598533750307,0.19693674027722,0.10433589973475,0.0642809572252182,0.108603049830274,1395.74442372693,1405.5599342849,1.20003666683687,0.368787496382311,0.197412230511702,0.114021556681565,0.103788664291725,0.104775194839268,957.527842590264,972.251108427211,1.22166572466006,0.345416840298257,0.202559760281158,0.111343290636113,0.102683320964513,0.104310432570936,946.210792145785,1000.19610021459
7,1.01967024670427,0.605483827785112,0.0347641668965278,0.170440064397347,0.129651740556511,0.12057037581954,790.342722853072,805.065988690019,1.04675078607896,0.574463920548606,0.0360697111436237,0.167780145476357,0.126219509582711,0.120943276799246,804.334491055175,819.057756892122,1.25758497350128,0.281378612760034,0.0575653782450528,0.146869042950384,0.0800241434531083,0.123318673544101,1376.35439903265,1386.16990959062,0.99515185974579,0.631214553976205,0.0318108386780538,0.171503680198287,0.133106275346279,0.116599391524329,891.935419635924,906.65868547287,1.02243160802677,0.600444394825546,0.0289479897352848,0.166187140332074,0.124208893829284,0.119171015168121,916.519425289515,970.504733358319
8,1.15408958783898,0.381144678491101,0.261975221777144,0.164838774601526,0.134302797019538,0.111937456907874,827.044476812644,841.76774264959,1.16809281191732,0.365320001336279,0.263040722785115,0.160280652747803,0.130083233338577,0.11122993847973,828.562650236098,843.285916073045,1.28395882550898,0.200166950483646,0.26059509621036,0.138309137536502,0.0785979959193817,0.110288483925272,1363.06335222778,1372.87886278575,1.13116578263717,0.40515401169146,0.261395358353876,0.16975764690192,0.141063367161248,0.110330767283066,886.531116444533,901.254382281479,1.15168861867506,0.385948629100013,0.257755091741999,0.166310743835902,0.137982869276002,0.110349294460727,908.861171523895,962.846479592698
9,1.01910920093371,0.436451404365548,0.294081519512739,0.169842497662785,0.115419838270156,0.0983577364681207,840.880307701035,855.603573537981,1.03880115537063,0.413243348011869,0.296542700720701,0.167566127163642,0.112803978837376,0.0979965454588686,848.157069767253,862.880335604199,1.18106637166406,0.221317913477003,0.291146793821288,0.144906916325839,0.0684723135894478,0.0982372945712372,1369.41920274467,1379.23471330264,0.976783922476936,0.470086225496137,0.311148906969572,0.172725680947365,0.116030296761429,0.100456040323939,900.88625448169,915.609520318636,1.00425488325863,0.446494583842469,0.302718364074504,0.170699873592967,0.117522844502855,0.0996628436824082,924.531097958401,978.516406027205
10,0.912478332877148,0.585793591059542,0.20024114061134,0.155368006749937,0.13506859241777,0.0921668593262946,847.845034233597,862.568300070543,0.948427874188754,0.547895471989444,0.198977833910292,0.151111634926082,0.128076633976163,0.092019046372126,858.850621482587,873.573887319533,1.15517051500914,0.276222111923094,0.202150935152117,0.129714106159945,0.0815287108289368,0.0960972889754558,1346.03080167504,1355.84631223301,0.877434112442078,0.6327489332511,0.18949760829962,0.160896004065764,0.14412183413274,0.0945144945295058,899.729169750292,914.452435587238,0.916075928982206,0.589813130386614,0.1845159649687,0.154206274902838,0.135724138218822,0.0943136320070643,932.701514416892,986.686822485695
